"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.464843750E0,2.377094278E1
2.929687500E0,6.097270301E1
4.394531250E0,6.694087542E1
5.859375000E0,6.510930529E1
7.324218750E0,4.021761525E1
8.789062500E0,2.344805887E1
1.025390625E1,1.763066971E1
1.171875000E1,3.405329009E1
1.318359375E1,4.743295810E1
1.464843750E1,4.444502351E1
1.611328125E1,3.340654335E1
1.757812500E1,1.307822504E1
1.904296875E1,1.362354882E1
2.050781250E1,2.259434041E1
2.197265625E1,2.490621260E1
2.343750000E1,1.546579404E1
2.490234375E1,9.268442179E0
2.636718750E1,8.484666795E0
2.783203125E1,1.124165669E1
2.929687500E1,1.535357023E1
3.076171875E1,2.010968085E1
3.222656250E1,1.359350706E1
3.369140625E1,9.390117926E0
3.515625000E1,1.493847273E1
3.662109375E1,1.759626584E1
3.808593750E1,6.226120395E0
3.955078125E1,2.180839266E0
4.101562500E1,1.594119874E1
4.248046875E1,8.157959339E0
4.394531250E1,2.537722656E1
4.541015625E1,1.860896106E1
4.687500000E1,2.180066161E1
4.833984375E1,3.720404580E1
4.980468750E1,1.855937693E1
5.126953125E1,9.313411298E0
5.273437500E1,1.517752016E1
5.419921875E1,1.677690625E1
5.566406250E1,1.964669898E1
5.712890625E1,8.746809542E0
5.859375000E1,7.636685775E0
6.005859375E1,6.479444636E0
6.152343750E1,8.618034892E0
6.298828125E1,2.147140369E1
6.445312500E1,1.563987303E1
6.591796875E1,2.463929179E1
6.738281250E1,1.509219534E1
6.884765625E1,2.670663857E1
7.031250000E1,9.134287092E0
7.177734375E1,9.120878350E0
7.324218750E1,6.487995123E0
7.470703125E1,1.095612027E1
7.617187500E1,6.341875868E0
7.763671875E1,4.864396870E0
7.910156250E1,1.669848758E1
8.056640625E1,1.146430750E1
8.203125000E1,1.287540004E1
8.349609375E1,2.547410414E1
8.496093750E1,1.725860870E1
8.642578125E1,1.281307245E1
8.789062500E1,1.780771748E1
8.935546875E1,9.860751442E0
9.082031250E1,1.042167728E1
