"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.464843750E0,6.258100641E0
2.929687500E0,4.866822110E0
4.394531250E0,1.357045370E1
5.859375000E0,1.696485760E1
7.324218750E0,1.320899177E1
8.789062500E0,1.178498790E1
1.025390625E1,2.561495925E0
1.171875000E1,3.461785693E0
1.318359375E1,3.680780769E0
1.464843750E1,1.140295457E1
1.611328125E1,1.669059827E1
1.757812500E1,7.661609672E0
1.904296875E1,5.342258414E0
2.050781250E1,5.706367712E0
2.197265625E1,7.807318128E0
2.343750000E1,8.446625456E0
2.490234375E1,3.525128755E0
2.636718750E1,5.539387113E0
2.783203125E1,9.423128516E0
2.929687500E1,1.092718208E1
3.076171875E1,6.486683960E0
3.222656250E1,1.211838687E0
3.369140625E1,1.898096550E0
3.515625000E1,7.638862515E0
3.662109375E1,7.839430126E0
3.808593750E1,3.334605322E0
3.955078125E1,5.068599673E0
4.101562500E1,6.920224921E0
4.248046875E1,5.557007963E0
4.394531250E1,1.277657625E1
4.541015625E1,1.573162560E1
4.687500000E1,1.257005990E1
4.833984375E1,2.634802419E1
4.980468750E1,4.257763985E0
5.126953125E1,7.463616502E0
5.273437500E1,4.055359139E0
5.419921875E1,3.338117816E0
5.566406250E1,1.551587361E1
5.712890625E1,1.491243300E0
5.859375000E1,2.651006649E0
6.005859375E1,4.757796428E0
6.152343750E1,5.045125931E0
6.298828125E1,1.768924003E0
6.445312500E1,4.693191119E0
6.591796875E1,8.511390652E0
6.738281250E1,5.059439137E0
6.884765625E1,4.710007345E0
7.031250000E1,3.582363823E0
7.177734375E1,6.861984364E0
7.324218750E1,6.023134567E0
7.470703125E1,5.243632949E0
7.617187500E1,7.697745957E0
7.763671875E1,6.071960241E0
7.910156250E1,2.620844334E0
8.056640625E1,4.193311748E0
8.203125000E1,5.866657694E0
8.349609375E1,7.988470587E0
8.496093750E1,5.808963556E0
8.642578125E1,1.317292770E1
8.789062500E1,4.163272257E1
8.935546875E1,4.729241732E1
9.082031250E1,1.442322180E1
9.228515625E1,6.828324454E0
9.375000000E1,3.527145807E0
9.521484375E1,2.230364638E0
9.667968750E1,1.139544049E0
9.814453125E1,3.108548573E0
9.960937500E1,9.920747578E0
1.010742188E2,1.239329688E0
1.025390625E2,2.496456588E0
1.040039062E2,1.224942157E1
1.054687500E2,6.732954493E0
1.069335938E2,7.601035554E0
1.083984375E2,1.328183221E1
1.098632812E2,5.303142771E0
1.113281250E2,1.370762719E1
1.127929688E2,4.028459220E0
1.142578125E2,5.486418393E0
1.157226562E2,3.594101655E0
1.171875000E2,3.208201840E0
1.186523438E2,6.531551331E0
1.201171875E2,8.914518217E0
1.215820312E2,3.896842032E0
1.230468750E2,6.599381764E0
1.245117188E2,4.381509873E0
1.259765625E2,6.763281666E0
1.274414062E2,1.129797635E1
1.289062500E2,7.984652176E0
1.303710938E2,1.097540427E1
1.318359375E2,1.523275784E1
1.333007812E2,1.756878574E1
1.347656250E2,1.834356140E1
1.362304688E2,1.651511150E1
1.376953125E2,3.146174897E0
1.391601562E2,6.439182125E0
1.406250000E2,8.859702849E0
1.420898438E2,4.097484730E0
1.435546875E2,5.945743106E0
1.450195312E2,1.903359714E1
1.464843750E2,7.449348198E0
1.479492188E2,1.337187180E1
1.494140625E2,2.017039577E1
1.508789062E2,2.716311219E1
1.523437500E2,5.609328294E1
1.538085938E2,1.463996302E2
1.552734375E2,2.839768432E2
1.567382812E2,2.022935676E2
1.582031250E2,9.638988579E1
1.596679688E2,3.122271325E1
1.611328125E2,8.297470135E0
1.625976562E2,1.905884229E1
1.640625000E2,2.619121419E1
1.655273438E2,1.137716560E1
1.669921875E2,2.976960291E1
1.684570312E2,1.863005063E1
1.699218750E2,2.103951813E0
